date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc
2015-07-29,143200.0,269690.0,387216.525818496,52278304845.5917,1320651.5092379,245291.86689199
2015-07-30,123577.0,230385.0,356031.302262644,52278304845.5917,1054979.16522922,190801.78215605
2015-07-31,147503.0,253234.0,361228.839521953,52278304845.5917,1288534.21587347,236947.21709547
2015-08-01,147481.0,256672.0,426198.055263311,52278304845.5917,1239800.28815435,189487.02654216
2015-08-02,103600.0,255245.0,408006.674855731,52278304845.5917,1333895.56796352,194895.76672159
2015-08-03,119844.0,245877.0,382018.988559187,52278304845.5917,1172220.41228981,218910.08275716
2015-08-04,132547.0,252264.0,374222.682670224,52278304845.5917,1093225.2819871,244590.57681949
2015-08-05,133758.0,257740.0,327444.847336446,52278304845.5917,1158064.00473945,250373.548302
2015-08-06,134838.0,245603.0,363827.608151607,52278304845.5917,1043204.44745325,217752.91200194
2015-08-07,111345.0,225700.0,369025.145410916,52278304845.5917,1053294.04266762,217916.84925054
2015-08-08,101512.0,232174.0,411296.569970398,52699842409.347,1298511.35996027,254156.78061496
2015-08-09,90534.0,222025.0,353662.65570703,52699842409.347,1001685.38411781,451470.89572641
2015-08-10,116841.0,235211.0,458451.590731335,52699842409.347,1180678.54211654,273513.20285104
2015-08-11,114741.0,221431.0,442733.250477689,52699842409.347,1356613.92965816,300807.46765656
2015-08-12,117898.0,234117.0,322225.975199739,52699842409.347,915176.452666715,274967.14434635
2015-08-13,117507.0,228212.0,390338.782965537,52699842409.347,1030157.05446934,306323.03722441
2015-08-14,111255.0,227327.0,351042.932331422,52699842409.347,1104647.2114158,296815.444635
2015-08-15,94944.0,226697.0,351042.932331422,52699842409.347,1036340.21339359,221592.62458325
2015-08-16,89498.0,233711.0,385099.336214322,52699842409.347,1011681.12760508,245407.11671351
2015-08-17,115049.0,233221.0,377240.166087499,52699842409.347,1165560.25589488,370251.33590925
2015-08-18,119798.0,249286.0,379859.889463106,52699842409.347,962805.135865087,437479.88516737
2015-08-19,120151.0,238988.0,398197.95309236,52699842409.347,994149.265002381,411274.60425803
2015-08-20,118230.0,227464.0,406057.123219183,52699842409.347,990706.284017562,380175.88336705
2015-08-21,113792.0,238831.0,403437.399843575,52699842409.347,1094121.52693361,337335.49943761
